2025-10-26 15:27:52,102 | INFO | golden_backtest | #0001 🎯 BUY @ $3360.30 | P&L: $-61.37 | Balance: $9938.63 | Reason: SL Hit
2025-10-26 15:27:52,444 | INFO | golden_backtest | #0002 🎯 SELL @ $3315.90 | P&L: $99.16 | Balance: $10037.79 | Reason: TP Hit
2025-10-26 15:27:52,475 | INFO | golden_backtest | #0003 🎯 SELL @ $3300.70 | P&L: $-64.65 | Balance: $9973.14 | Reason: SL Hit
2025-10-26 15:27:53,091 | INFO | golden_backtest | #0004 🎯 BUY @ $3352.00 | P&L: $-72.04 | Balance: $9901.10 | Reason: SL Hit
2025-10-26 15:27:53,998 | INFO | golden_backtest | #0005 🎯 SELL @ $3314.10 | P&L: $-72.13 | Balance: $9828.97 | Reason: SL Hit
2025-10-26 15:27:55,441 | INFO | golden_backtest | #0001 🎯 BUY @ $3360.30 | P&L: $-61.37 | Balance: $9938.63 | Reason: SL Hit
2025-10-26 15:27:55,783 | INFO | golden_backtest | #0002 🎯 SELL @ $3315.90 | P&L: $99.16 | Balance: $10037.79 | Reason: TP Hit
2025-10-26 15:27:55,813 | INFO | golden_backtest | #0003 🎯 SELL @ $3300.70 | P&L: $-64.65 | Balance: $9973.14 | Reason: SL Hit
2025-10-26 15:27:56,439 | INFO | golden_backtest | #0004 🎯 BUY @ $3352.00 | P&L: $-72.04 | Balance: $9901.10 | Reason: SL Hit
2025-10-26 15:27:57,310 | INFO | golden_backtest | #0005 🎯 SELL @ $3314.10 | P&L: $-72.13 | Balance: $9828.97 | Reason: SL Hit
2025-10-26 15:27:58,769 | INFO | golden_backtest | #0001 🎯 BUY @ $3360.27 | P&L: $-60.79 | Balance: $9939.21 | Reason: SL Hit
2025-10-26 15:27:59,112 | INFO | golden_backtest | #0002 🎯 SELL @ $3315.95 | P&L: $99.29 | Balance: $10038.50 | Reason: TP Hit
2025-10-26 15:27:59,142 | INFO | golden_backtest | #0003 🎯 SELL @ $3300.63 | P&L: $-64.55 | Balance: $9973.95 | Reason: SL Hit
2025-10-26 15:27:59,758 | INFO | golden_backtest | #0004 🎯 BUY @ $3352.02 | P&L: $-71.93 | Balance: $9902.02 | Reason: SL Hit
2025-10-26 15:28:00,627 | INFO | golden_backtest | #0005 🎯 SELL @ $3314.00 | P&L: $-73.08 | Balance: $9828.94 | Reason: SL Hit
2025-10-26 15:28:02,024 | INFO | golden_backtest | #0001 🎯 BUY @ $3360.27 | P&L: $-60.79 | Balance: $9939.21 | Reason: SL Hit
2025-10-26 15:28:02,367 | INFO | golden_backtest | #0002 🎯 SELL @ $3315.95 | P&L: $99.29 | Balance: $10038.50 | Reason: TP Hit
2025-10-26 15:28:02,398 | INFO | golden_backtest | #0003 🎯 SELL @ $3300.63 | P&L: $-64.55 | Balance: $9973.95 | Reason: SL Hit
2025-10-26 15:28:03,012 | INFO | golden_backtest | #0004 🎯 BUY @ $3352.02 | P&L: $-71.93 | Balance: $9902.02 | Reason: SL Hit
2025-10-26 15:28:03,878 | INFO | golden_backtest | #0005 🎯 SELL @ $3314.00 | P&L: $-73.08 | Balance: $9828.94 | Reason: SL Hit
2025-10-26 15:35:50,963 | INFO | golden_backtest | #0001 🎯 SELL @ $3366.17 | P&L: $127.55 | Balance: $10127.55 | Reason: TP Hit
2025-10-26 15:35:51,251 | INFO | golden_backtest | #0002 🎯 SELL @ $3330.22 | P&L: $-49.92 | Balance: $10077.62 | Reason: SL Hit
2025-10-26 15:35:51,751 | INFO | golden_backtest | #0003 🎯 BUY @ $3360.37 | P&L: $-41.41 | Balance: $10036.21 | Reason: SL Hit
2025-10-26 15:35:52,102 | INFO | golden_backtest | #0004 🎯 SELL @ $3315.94 | P&L: $79.88 | Balance: $10116.09 | Reason: TP Hit
2025-10-26 15:35:52,127 | INFO | golden_backtest | #0005 🎯 SELL @ $3297.79 | P&L: $-43.47 | Balance: $10072.61 | Reason: SL Hit
2025-10-26 15:35:52,556 | INFO | golden_backtest | #0006 🎯 BUY @ $3369.44 | P&L: $-35.01 | Balance: $10037.61 | Reason: SL Hit
2025-10-26 15:35:52,576 | INFO | golden_backtest | #0007 🎯 BUY @ $3369.50 | P&L: $-35.60 | Balance: $10002.00 | Reason: SL Hit
2025-10-26 15:35:52,853 | INFO | golden_backtest | #0001 🎯 SELL @ $3366.17 | P&L: $127.55 | Balance: $10127.55 | Reason: TP Hit
2025-10-26 15:35:53,139 | INFO | golden_backtest | #0002 🎯 SELL @ $3330.22 | P&L: $-49.92 | Balance: $10077.62 | Reason: SL Hit
2025-10-26 15:35:53,636 | INFO | golden_backtest | #0003 🎯 BUY @ $3360.37 | P&L: $-41.41 | Balance: $10036.21 | Reason: SL Hit
2025-10-26 15:35:53,987 | INFO | golden_backtest | #0004 🎯 SELL @ $3315.94 | P&L: $79.88 | Balance: $10116.09 | Reason: TP Hit
2025-10-26 15:35:54,013 | INFO | golden_backtest | #0005 🎯 SELL @ $3297.79 | P&L: $-43.47 | Balance: $10072.61 | Reason: SL Hit
2025-10-26 15:35:54,435 | INFO | golden_backtest | #0006 🎯 BUY @ $3369.44 | P&L: $-35.01 | Balance: $10037.61 | Reason: SL Hit
2025-10-26 15:35:54,455 | INFO | golden_backtest | #0007 🎯 BUY @ $3369.50 | P&L: $-35.60 | Balance: $10002.00 | Reason: SL Hit
2025-10-26 15:35:54,726 | INFO | golden_backtest | #0001 🎯 SELL @ $3366.17 | P&L: $127.55 | Balance: $10127.55 | Reason: TP Hit
2025-10-26 15:35:55,014 | INFO | golden_backtest | #0002 🎯 SELL @ $3330.22 | P&L: $-49.92 | Balance: $10077.62 | Reason: SL Hit
2025-10-26 15:35:55,533 | INFO | golden_backtest | #0003 🎯 BUY @ $3360.37 | P&L: $-41.41 | Balance: $10036.21 | Reason: SL Hit
2025-10-26 15:35:55,881 | INFO | golden_backtest | #0004 🎯 SELL @ $3315.94 | P&L: $79.88 | Balance: $10116.09 | Reason: TP Hit
2025-10-26 15:35:55,907 | INFO | golden_backtest | #0005 🎯 SELL @ $3297.79 | P&L: $-43.47 | Balance: $10072.61 | Reason: SL Hit
2025-10-26 15:35:56,337 | INFO | golden_backtest | #0006 🎯 BUY @ $3369.44 | P&L: $-35.01 | Balance: $10037.61 | Reason: SL Hit
